PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4;P7440
20230518;05;2023;7425013;1;2;1;70;05;1;2062.8201356;05;1;;;;;1;;48;2000000;1;72;2;7;1;7;2;2;;2;;.;3122;13;1313;
20230518;05;2023;7425013;1;3;1;70;05;1;2062.8201356;05;1;;;;;2;5;;2000000;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425014;1;2;1;70;05;1;1199.4083654;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425015;1;1;1;70;05;1;1760.9608215;05;1;;;;;;;;;1;5;0;2;1;4;2;1;1;2;;.;5221;46;4631;
20230518;05;2023;7425016;1;2;1;70;05;1;835.1640695;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425019;1;1;1;70;05;1;1479.1994106;05;1;;;;;;;;;1;300;0;4;4;1;2;2;;2;;.;9121;96;9601;
20230518;05;2023;7425019;1;2;1;70;05;1;1479.1994106;05;;2;1;16;1;;;48;1500000;1;4;0;6;1;7;2;2;;2;;2320;2320;85;8551;
20230518;05;2023;7425022;1;2;1;70;05;1;728.0193595;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425023;1;1;1;70;05;1;1699.9405795;05;1;;;;;;;;;1;15;0;4;4;1;2;2;;2;;.;5212;47;4781;
20230518;05;2023;7425023;1;2;1;70;05;1;1699.9405795;05;1;;;;;;;;;1;180;0;8;3;1;2;2;;2;;.;9111;97;9700;
20230518;05;2023;7425024;1;1;1;70;05;1;1299.3158653;05;1;;;;;;;;;1;24;0;4;4;1;2;2;;2;;.;9111;81;8121;
20230518;05;2023;7425024;1;2;1;70;05;1;1299.3158653;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425025;1;2;1;70;05;1;1804.6151105;05;;1;1;2;1;;;48;1160000;1;60;0;8;1;8;2;2;;2;;5223;5223;47;4773;
20230518;05;2023;7425025;1;4;1;70;05;1;1804.6151105;05;;1;1;2;1;;;48;1160000;1;0;2;8;1;2;2;2;;1;400000;9313;9313;41;4111;
20230518;05;2023;7425026;1;1;1;70;05;1;1010.5425433;05;;2;1;104;1;;;48;7000000;1;72;0;1;1;10;2;2;;2;;7233;7543;27;2790;
20230518;05;2023;7425026;1;4;1;70;05;1;1010.5425433;05;1;;;;;;;;;1;5;0;8;1;8;2;2;;2;;.;5242;82;8230;
20230518;05;2023;7425027;1;1;1;70;05;1;6446.7735394;05;1;;;;;;;;;1;1;0;8;1;4;2;2;;2;;.;5132;56;5630;
20230518;05;2023;7425027;1;3;1;70;05;1;6446.7735394;05;1;;;;;;;;;1;1;0;6;1;4;2;2;;2;;.;5132;56;5630;
20230518;05;2023;7425028;1;1;1;70;05;1;1193.9730538;05;1;;;;;;;;;1;36;0;2;1;5;2;2;;2;;.;2261;86;8622;
20230518;05;2023;7425029;1;3;1;70;05;1;4337.6092982;05;1;;;;;;;;;1;12;0;8;1;8;2;2;;2;;.;5223;14;1410;
20230518;05;2023;7425029;1;4;1;70;05;1;4337.6092982;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425029;1;5;1;70;05;1;4337.6092982;05;1;;;;;;;;;1;150;0;3;4;1;2;2;;2;;.;7531;14;1410;
20230518;05;2023;7425030;1;2;1;70;05;1;4840.4514462;05;1;;;;;;;;;1;98;2;3;1;8;2;2;;2;;.;8153;14;1410;
20230518;05;2023;7425032;1;4;1;70;05;1;794.10678647;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425033;1;1;1;70;05;1;1292.6108943;05;;1;1;12;1;;;48;1200000;1;3;0;8;1;6;2;2;;2;;3322;3322;47;4771;
20230518;05;2023;7425037;1;1;1;70;05;1;773.26948821;05;;2;1;24;1;;;48;1700000;1;2;0;9;4;1;2;2;;2;;8331;8331;49;4921;
20230518;05;2023;7425037;1;2;1;70;05;1;773.26948821;05;1;;;;;;;;;1;70;0;3;1;8;2;2;;2;;.;2342;88;8891;
20230518;05;2023;7425038;1;2;1;70;05;1;2136.9390292;05;;1;1;4;1;;;48;1160000;1;1;0;8;1;2;2;2;;1;1500000;5223;5223;95;9512;
20230518;05;2023;7425040;1;1;1;70;05;1;1180.3160621;05;;1;1;2;1;;;48;1160000;1;1;2;8;3;1;2;2;;2;;9112;9111;97;9700;
20230518;05;2023;7425040;1;2;1;70;05;1;1180.3160621;05;1;;;;;;;;;1;2;0;2;1;4;2;2;;2;;.;5223;47;4711;
20230518;05;2023;7425040;1;3;1;70;05;1;1180.3160621;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425042;1;2;1;70;05;1;1812.4633836;05;;1;1;12;1;;;48;1160000;1;12;0;3;1;6;2;2;;2;;4415;4415;85;8559;
20230518;05;2023;7425043;1;2;1;70;05;1;1623.2506204;05;;1;1;3;1;;;48;1160000;1;0;3;8;1;4;2;2;;2;;3353;9313;41;4112;
20230518;05;2023;7425045;1;2;1;70;05;1;1373.5197557;05;1;;;;;;;;;1;48;0;9;1;6;2;2;;2;;.;3341;65;6515;
20230518;05;2023;7425046;1;1;1;70;05;1;1357.0244933;05;1;;;;;;;;;1;4;0;5;1;9;2;3;;2;;.;1342;86;8610;
20230518;05;2023;7425050;1;2;1;70;05;1;4325.0455614;05;1;;;;;;;;;1;144;2;3;1;5;2;2;;2;;.;9112;55;5511;
20230518;05;2023;7425050;1;3;1;70;05;1;4325.0455614;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425051;1;1;1;70;05;1;1132.6899363;05;1;;;;;;;;;1;48;0;4;1;10;2;3;;2;;.;9122;38;3811;
20230518;05;2023;7425051;1;2;1;70;05;1;1132.6899363;05;1;;;;;;;;;1;360;0;8;1;2;2;2;;2;;.;5223;47;4711;
20230518;05;2023;7425053;1;3;1;70;05;1;1120.4870473;05;;2;1;104;1;;;48;1300000;1;5;0;6;1;8;2;2;;2;;3521;9621;53;5320;
20230518;05;2023;7425054;1;1;1;70;05;1;4325.0455614;05;1;;;;;;;;;1;3;1;8;1;3;2;2;;2;;.;5223;47;4771;
20230518;05;2023;7425054;1;3;1;70;05;1;4325.0455614;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425055;1;1;1;70;05;1;1071.5769022;05;1;;;;;;;;;1;120;0;5;2;10;2;3;;2;;.;2341;85;8530;
20230518;05;2023;7425055;1;2;1;70;05;1;1071.5769022;05;;2;1;24;1;;;48;1300000;1;36;0;6;1;10;2;2;;2;;4222;2341;85;8530;
20230518;05;2023;7425056;1;1;1;70;05;1;646.97915985;05;1;;;;;;;;;1;240;5;5;2;2;2;3;;2;;.;1112;84;8415;
20230518;05;2023;7425056;1;3;1;70;05;1;646.97915985;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425056;1;5;1;70;05;1;646.97915985;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425057;1;1;1;70;05;1;1038.8525763;05;1;;;;;;;;;1;180;5;5;1;10;2;3;;2;;.;3123;43;4322;
20230518;05;2023;7425057;1;2;1;70;05;1;1038.8525763;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425058;1;3;1;70;05;1;962.16740611;05;1;;;;;;;;;1;360;0;5;1;4;2;3;;2;;.;4120;55;5511;
20230518;05;2023;7425058;1;4;1;70;05;1;962.16740611;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425061;1;1;1;70;05;1;1402.450978;05;1;;;;;;;;;1;60;0;3;1;10;2;2;;2;;.;8183;17;1702;
20230518;05;2023;7425061;1;2;1;70;05;1;1402.450978;05;1;;;;;;;;;1;50;0;3;1;7;2;2;;2;;.;2342;85;8512;
20230518;05;2023;7425062;1;1;1;70;05;1;1045.4114615;05;1;;;;;;;;;1;160;0;1;1;6;2;3;;2;;.;9329;14;1410;
20230518;05;2023;7425063;1;2;1;70;05;1;1643.9381028;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425066;1;2;1;70;05;1;1777.5921862;05;1;;;;;;;;;1;240;0;4;3;1;2;2;;2;;.;9111;97;9700;
20230518;05;2023;7425069;1;1;1;70;05;1;1242.2056265;05;1;;;;;;;;;1;100;0;5;1;10;2;3;;2;;.;9112;78;7820;
20230518;05;2023;7425071;1;1;1;70;05;1;1024.7925836;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425072;1;1;1;70;05;1;973.58438713;05;1;;;;;;;;;1;4;0;5;2;10;2;3;;2;;.;2341;85;8530;
20230518;05;2023;7425072;1;3;1;70;05;1;973.58438713;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425073;1;1;1;70;05;1;1108.1094148;05;1;;;;;;;;;1;36;0;3;1;2;2;2;;2;;.;7323;18;1812;
20230518;05;2023;7425075;1;1;1;70;05;1;965.67639198;05;1;;;;;;;;;1;140;0;3;2;10;2;3;;2;;.;0210;84;8422;
20230518;05;2023;7425075;1;2;1;70;05;1;965.67639198;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425075;1;3;1;70;05;1;965.67639198;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425075;1;4;1;70;05;1;965.67639198;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230518;05;2023;7425082;1;2;1;70;05;1;3906.3285473;05;1;;;;;;;;;1;300;0;3;1;4;2;2;;2;;.;8153;14;1410;
