PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008
20230417;04;2023;7396129;1;1;01;;2;392.78828823;05;1;1;4;1;2;2;2;1;2;1;1;3;1;2;1;1;1;3;4;3;;;;;2000000;;1;;;;;;;;;;2
20230417;04;2023;7396130;1;1;01;;2;587.29802156;05;1;1;2;1;2;2;2;1;2;1;1;2;1;2;1;1;1;2;4;4;;;;300000;;;;;;;;;;1;;;1
20230417;04;2023;7396131;1;1;01;;2;587.29802156;05;1;1;4;1;2;2;2;1;2;1;1;2;1;2;1;1;1;1;4;4;;;;2000000;;;;;;;;;;1;;;1
20230417;04;2023;7396132;1;1;01;;2;1921.7320964;23;1;5;1;1;1;2;2;2;;2;1;3;2;6;;3;4;1;5;1;;;15000000;100000;;;;;;;;;;1;;;4
20230417;04;2023;7396134;1;1;01;;2;1742.7524577;23;1;5;1;1;1;2;2;2;;2;1;2;1;6;;3;10;1;5;4;;;;80000;;;;;;;;;;1;;;5
20230417;04;2023;7396135;1;1;01;;2;1068.1328504;23;1;5;1;1;1;2;2;2;;2;1;3;2;2;2;4;10;1;4;1;;;98;100000;;;;;;;;;;1;;;5
20230417;04;2023;7396136;1;1;01;;2;2074.4929509;23;1;1;1;1;1;2;2;2;;2;1;4;3;2;2;4;10;5;5;4;;;;100000;;;;;;;;;;1;;;4
20230417;04;2023;7396138;1;1;01;;2;1919.3789826;23;1;5;1;1;1;2;2;2;;2;1;2;1;2;1;3;4;6;;1;;;10000000;50000;;;;;;;;;;1;;;1
20230417;04;2023;7396139;1;1;01;;2;1804.3777857;23;1;1;4;1;1;2;2;1;2;1;1;4;2;2;1;1;1;3;4;3;;;;;250000;;;;;;;;;1;;;3
20230417;04;2023;7396140;1;1;01;;2;2032.6307116;23;1;1;2;1;1;2;2;1;2;1;1;3;2;2;1;1;1;1;4;4;;;;200000;;;;;;;;;;1;;;3
